team_full_name,team_alias,map_name,map_played,map_win_rate,map_win,map_loss,map_atk_1st,map_def_1st,map_atk_rwin,map_atk_rw,map_atk_rl,map_def_rwin,map_def_rw,map_def_rl,agent_composition,agent_composition_played
FNATIC,FNC,Bind,50,76,38,12,36,14,61%,343,222,58%,279,204,"[['brimstone', 'cypher', 'raze', 'skye', 'viper'], ['brimstone', 'chamber', 'raze', 'skye', 'viper'], ['astra', 'fade', 'raze', 'skye', 'viper'], ['brimstone', 'raze', 'skye', 'sova', 'viper'], ['astra', 'raze', 'skye', 'sova', 'viper'], ['astra', 'raze', 'sage', 'skye', 'viper'], ['astra', 'breach', 'brimstone', 'skye', 'viper'], ['astra', 'breach', 'brimstone', 'sova', 'viper'], ['astra', 'jett', 'phoenix', 'sage', 'skye']]","[3, 6, 6, 26, 2, 3, 1, 2, 1]"
FNATIC,FNC,Haven,57,63,36,21,38,19,58%,381,280,54%,322,274,"[['astra', 'breach', 'jett', 'killjoy', 'sova'], ['astra', 'breach', 'fade', 'jett', 'killjoy'], ['cypher', 'jett', 'omen', 'skye', 'sova'], ['breach', 'chamber', 'fade', 'omen', 'raze'], ['astra', 'breach', 'chamber', 'fade', 'raze'], ['breach', 'chamber', 'omen', 'raze', 'sova'], ['breach', 'jett', 'killjoy', 'omen', 'sova'], ['astra', 'jett', 'killjoy', 'skye', 'sova'], ['astra', 'killjoy', 'raze', 'skye', 'sova'], ['cypher', 'jett', 'omen', 'phoenix', 'sova'], ['astra', 'cypher', 'jett', 'phoenix', 'sova'], ['astra', 'jett', 'killjoy', 'sage', 'skye'], ['astra', 'killjoy', 'raze', 'sage', 'skye'], ['breach', 'cypher', 'omen', 'phoenix', 'sova'], ['breach', 'killjoy', 'omen', 'raze', 'sova']]","[10, 1, 4, 4, 1, 4, 1, 4, 1, 2, 1, 5, 9, 1, 8]"
FNATIC,FNC,Split,31,58,18,13,9,22,51%,167,158,51%,178,168,"[['breach', 'cypher', 'omen', 'raze', 'skye'], ['cypher', 'jett', 'omen', 'raze', 'sage'], ['chamber', 'fade', 'omen', 'raze', 'viper'], ['omen', 'raze', 'sage', 'skye', 'viper'], ['kayo', 'omen', 'raze', 'sage', 'viper'], ['astra', 'kayo', 'raze', 'sage', 'viper'], ['astra', 'kayo', 'killjoy', 'raze', 'viper'], ['astra', 'breach', 'cypher', 'jett', 'skye'], ['astra', 'killjoy', 'raze', 'skye', 'viper'], ['astra', 'killjoy', 'raze', 'sage', 'viper'], ['astra', 'cypher', 'jett', 'skye', 'viper'], ['astra', 'jett', 'killjoy', 'raze', 'reyna'], ['breach', 'cypher', 'jett', 'omen', 'raze'], ['breach', 'cypher', 'omen', 'raze', 'sage'], ['cypher', 'omen', 'raze', 'reyna', 'viper']]","[4, 2, 4, 1, 2, 2, 2, 1, 2, 1, 1, 2, 1, 3, 3]"
FNATIC,FNC,Ascent,37,59,22,15,12,25,50%,190,190,57%,241,179,"[['jett', 'kayo', 'killjoy', 'omen', 'sova'], ['fade', 'jett', 'kayo', 'killjoy', 'omen'], ['chamber', 'fade', 'kayo', 'omen', 'sage'], ['chamber', 'fade', 'kayo', 'omen', 'raze'], ['astra', 'jett', 'kayo', 'killjoy', 'sova'], ['astra', 'cypher', 'jett', 'reyna', 'sova'], ['astra', 'jett', 'killjoy', 'skye', 'sova'], ['jett', 'killjoy', 'omen', 'skye', 'sova'], ['astra', 'jett', 'killjoy', 'skye', 'viper'], ['cypher', 'jett', 'omen', 'skye', 'viper'], ['cypher', 'jett', 'omen', 'sova', 'viper'], ['cypher', 'jett', 'omen', 'sage', 'sova'], ['killjoy', 'omen', 'reyna', 'sage', 'sova']]","[8, 2, 2, 3, 5, 1, 1, 2, 2, 3, 2, 5, 1]"
FNATIC,FNC,Icebox,55,78,43,12,36,19,62%,365,225,55%,280,225,"[['jett', 'killjoy', 'sage', 'sova', 'viper'], ['chamber', 'killjoy', 'sage', 'sova', 'viper'], ['chamber', 'kayo', 'sage', 'sova', 'viper'], ['jett', 'reyna', 'sage', 'sova', 'viper'], ['astra', 'raze', 'reyna', 'sova', 'viper'], ['cypher', 'jett', 'sage', 'sova', 'viper'], ['killjoy', 'raze', 'sage', 'sova', 'viper'], ['jett', 'killjoy', 'reyna', 'sova', 'viper']]","[36, 11, 1, 1, 2, 1, 2, 1]"
FNATIC,FNC,Breeze,8,63,5,3,6,2,63%,57,33,46%,36,42,"[['chamber', 'jett', 'skye', 'sova', 'viper'], ['breach', 'chamber', 'neon', 'sova', 'viper'], ['astra', 'killjoy', 'reyna', 'sova', 'viper'], ['astra', 'killjoy', 'skye', 'sova', 'viper'], ['astra', 'cypher', 'skye', 'sova', 'viper'], ['cypher', 'jett', 'sage', 'sova', 'viper']]","[2, 1, 1, 2, 1, 1]"
FNATIC,FNC,Fracture,16,69,11,5,12,4,54%,97,81,59%,91,64,"[['breach', 'brimstone', 'fade', 'killjoy', 'raze'], ['breach', 'brimstone', 'chamber', 'fade', 'raze'], ['breach', 'brimstone', 'chamber', 'kayo', 'neon'], ['breach', 'brimstone', 'chamber', 'raze', 'viper'], ['astra', 'breach', 'chamber', 'raze', 'viper'], ['breach', 'brimstone', 'cypher', 'raze', 'viper'], ['astra', 'breach', 'cypher', 'raze', 'viper'], ['astra', 'cypher', 'jett', 'skye', 'viper']]","[4, 1, 2, 2, 2, 2, 2, 1]"
FNATIC,FNC,Pearl,3,33,1,2,2,1,42%,14,19,53%,17,15,"[['astra', 'cypher', 'fade', 'jett', 'kayo'], ['astra', 'chamber', 'fade', 'neon', 'skye']]","[1, 2]"
FNATIC,FNC,Lotus,10,90,9,1,8,2,71%,82,34,52%,44,41,"[['astra', 'fade', 'killjoy', 'raze', 'viper']]",[10]
Natus Vincere,NAVI,Bind,20,55,11,9,6,14,49%,99,102,55%,126,104,"[['brimstone', 'cypher', 'raze', 'skye', 'viper'], ['brimstone', 'kayo', 'skye', 'viper', 'yoru'], ['chamber', 'fade', 'omen', 'raze', 'skye'], ['chamber', 'fade', 'omen', 'skye', 'viper'], ['chamber', 'omen', 'raze', 'skye', 'viper'], ['astra', 'jett', 'kayo', 'sova', 'viper'], ['astra', 'raze', 'reyna', 'sova', 'viper']]","[1, 1, 1, 1, 2, 7, 6]"
