agent_name,total_utilization,Lotus,Abyss,Corrode,Ascent,Bind,Sunset,Haven
Omen,80.0,100.0,68.0,85.0,100.0,0.0,100.0,100.0
Sova,53.0,0.0,100.0,35.0,100.0,0.0,73.0,95.0
Yoru,53.0,56.0,50.0,46.0,68.0,77.0,41.0,30.0
Viper,43.0,47.0,0.0,77.0,0.0,95.0,23.0,65.0
Fade,43.0,94.0,0.0,65.0,0.0,77.0,27.0,5.0
Vyse,30.0,53.0,18.0,42.0,68.0,0.0,9.0,5.0
Cypher,30.0,11.0,61.0,4.0,32.0,0.0,82.0,30.0
Waylay,26.0,14.0,32.0,54.0,14.0,32.0,14.0,20.0
Neon,22.0,8.0,4.0,23.0,0.0,0.0,68.0,70.0
Raze,22.0,61.0,0.0,8.0,0.0,45.0,18.0,0.0
Kayo,14.0,0.0,36.0,31.0,32.0,0.0,0.0,0.0
Astra,12.0,0.0,43.0,15.0,0.0,23.0,0.0,0.0
Jett,11.0,0.0,39.0,0.0,41.0,0.0,0.0,0.0
Breach,10.0,6.0,14.0,0.0,0.0,0.0,36.0,15.0
Brimstone,10.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0
Killjoy,9.0,8.0,0.0,0.0,0.0,0.0,0.0,65.0
Tejo,9.0,14.0,7.0,8.0,5.0,23.0,0.0,0.0
Sage,7.0,3.0,4.0,4.0,36.0,0.0,9.0,0.0
Deadlock,6.0,14.0,4.0,4.0,0.0,14.0,0.0,0.0
Chamber,3.0,11.0,4.0,0.0,5.0,0.0,0.0,0.0
Harbor,3.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0
Gekko,3.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0
Skye,2.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0
Iso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phoenix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reyna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clove,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
