match_id,match_title,event,date,format,teams,score,maps_played,patch,pick_ban_info
542195,Paper Rex vs Xi Lai Gaming,Valorant Champions 2025,2025-09-12 09:00:00,Bo3,Paper Rex vs Xi Lai Gaming,2 - 0,2,Patch 11.05,XLG ban Lotus; PRX ban Abyss; XLG pick Bind; PRX pick Sunset; XLG ban Corrode; PRX ban Haven; Ascent remains
542196,GIANTX vs Sentinels,Valorant Champions 2025,2025-09-12 11:25:00,Bo3,GIANTX vs Sentinels,2 - 1,3,Patch 11.05,SEN ban Ascent; GX ban Lotus; SEN pick Corrode; GX pick Sunset; SEN ban Bind; GX ban Abyss; Haven remains
542207,NRG vs EDward Gaming,Valorant Champions 2025,2025-09-13 09:00:00,Bo3,NRG vs EDward Gaming,2 - 0,2,Patch 11.05,EDG ban Lotus; NRG ban Sunset; EDG pick Abyss; NRG pick Corrode; EDG ban Ascent; NRG ban Bind; Haven remains
542205,Team Liquid vs DRX,Valorant Champions 2025,2025-09-13 11:55:00,Bo3,Team Liquid vs DRX,0 - 2,2,Patch 11.05,DRX ban Sunset; TL ban Haven; DRX pick Abyss; TL pick Bind; DRX ban Corrode; TL ban Ascent; Lotus remains
542212,Dragon Ranger Gaming vs T1,Valorant Champions 2025,2025-09-14 09:00:00,Bo3,Dragon Ranger Gaming vs T1,0 - 2,2,Patch 11.05,DRG ban Bind; T1 ban Haven; DRG pick Lotus; T1 pick Sunset; DRG ban Abyss; T1 ban Corrode; Ascent remains
542211,G2 Esports vs Team Heretics,Valorant Champions 2025,2025-09-14 12:20:00,Bo3,G2 Esports vs Team Heretics,0 - 2,2,Patch 11.05,TH ban Abyss; G2 ban Sunset; TH pick Corrode; G2 pick Lotus; TH ban Bind; G2 ban Ascent; Haven remains
542200,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming) vs MIBR,Valorant Champions 2025,2025-09-15 09:00:00,Bo3,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming) vs MIBR,0 - 2,2,Patch 11.05,BLG ban Abyss; MIBR ban Lotus; BLG pick Haven; MIBR pick Corrode; BLG ban Ascent; MIBR ban Bind; Sunset remains
542201,Rex Regum Qeon vs FNATIC,Valorant Champions 2025,2025-09-15 11:10:00,Bo3,Rex Regum Qeon vs FNATIC,0 - 2,2,Patch 11.05,FNC ban Sunset; RRQ ban Bind; FNC pick Ascent; RRQ pick Abyss; FNC ban Haven; RRQ ban Lotus; Corrode remains
542197,Paper Rex vs GIANTX,Valorant Champions 2025,2025-09-17 09:00:00,Bo3,Paper Rex vs GIANTX,2 - 1,3,Patch 11.05,GX ban Bind; PRX ban Corrode; GX pick Ascent; PRX pick Lotus; GX ban Abyss; PRX ban Haven; Sunset remains
542208,DRX vs NRG,Valorant Champions 2025,2025-09-17 12:10:00,Bo3,DRX vs NRG,1 - 2,3,Patch 11.05,DRX ban Sunset; NRG ban Abyss; DRX pick Haven; NRG pick Corrode; DRX ban Ascent; NRG ban Bind; Lotus remains
