map,Team,Pistol Won,Eco (won),Semi-eco (won),Semi-buy (won),Full buy(won),match_id
Bind,PRX,1,4 (2),0 (0),3 (2),15 (9),542195
Bind,XLG,1,3 (1),1 (0),8 (3),10 (5),542195
Sunset,PRX,2,2 (2),1 (0),5 (4),10 (7),542195
Sunset,XLG,0,4 (0),2 (0),3 (0),9 (5),542195
All Maps,PRX,3,6 (4),1 (0),8 (6),25 (16),542195
All Maps,XLG,1,7 (1),3 (0),11 (3),19 (10),542195
Corrode,GX,1,3 (1),2 (0),4 (1),10 (4),542196
Corrode,SEN,1,3 (1),0 (0),2 (2),14 (10),542196
Sunset,GX,1,4 (2),0 (0),1 (0),12 (11),542196
Sunset,SEN,1,3 (2),0 (0),11 (1),3 (1),542196
All Maps,GX,1,3 (1),1 (0),4 (3),14 (9),542196
All Maps,SEN,1,3 (1),1 (0),6 (3),12 (5),542196
Abyss,NRG,0,4 (0),1 (0),7 (3),20 (14),542207
Abyss,EDG,2,3 (2),1 (0),5 (2),23 (11),542207
Corrode,NRG,1,3 (1),1 (0),5 (2),15 (10),542207
Corrode,EDG,1,3 (1),1 (0),5 (2),15 (8),542207
All Maps,NRG,1,7 (1),2 (0),12 (5),35 (24),542207
All Maps,EDG,3,6 (3),2 (0),10 (4),38 (19),542207
Abyss,TL,0,4 (0),1 (1),6 (0),10 (7),542205
Abyss,DRX,2,2 (2),0 (0),4 (3),15 (8),542205
Bind,TL,1,3 (2),1 (0),5 (2),14 (6),542205
Bind,DRX,1,3 (1),2 (1),2 (1),16 (10),542205
All Maps,TL,1,7 (2),2 (1),11 (2),24 (13),542205
All Maps,DRX,3,5 (3),2 (1),6 (4),31 (18),542205
Lotus,DRG,2,2 (2),2 (0),4 (2),21 (9),542212
Lotus,T1,0,4 (0),1 (0),4 (1),20 (15),542212
Sunset,DRG,0,4 (0),1 (1),4 (3),21 (10),542212
Sunset,T1,2,3 (3),4 (1),4 (3),19 (9),542212
All Maps,DRG,2,6 (2),3 (1),8 (5),42 (19),542212
All Maps,T1,2,7 (3),5 (1),8 (4),39 (24),542212
Corrode,G2,0,4 (1),3 (0),1 (0),15 (9),542211
Corrode,TH,2,2 (2),2 (0),5 (2),14 (9),542211
Lotus,G2,1,2 (1),2 (1),9 (3),10 (5),542211
Lotus,TH,1,3 (1),1 (0),4 (3),15 (9),542211
corrode,G2,1,6 (2),5 (1),10 (3),25 (14),542211
corrode,TH,3,5 (3),3 (0),9 (5),29 (18),542211
Haven,BLG,0,3 (0),1 (0),5 (0),6 (2),542200
Haven,MIBR,2,2 (2),0 (0),5 (4),8 (7),542200
Corrode,BLG,0,4 (1),0 (0),5 (3),13 (5),542200
Corrode,MIBR,2,2 (2),1 (1),4 (3),15 (7),542200
All Maps,BLG,0,7 (1),1 (0),10 (3),19 (7),542200
All Maps,MIBR,4,4 (4),1 (1),9 (7),23 (14),542200
Ascent,RRQ,0,4 (0),1 (0),0 (0),18 (10),542201
Ascent,FNC,2,2 (2),1 (0),9 (5),11 (6),542201
Abyss,RRQ,1,3 (1),3 (0),4 (2),10 (4),542201
Abyss,FNC,1,3 (1),1 (0),6 (5),10 (7),542201
All Maps,RRQ,1,7 (1),4 (0),4 (2),28 (14),542201
All Maps,FNC,3,5 (3),2 (0),15 (10),21 (13),542201
Ascent,PRX,2,3 (2),2 (0),6 (3),13 (6),542197
Ascent,GX,0,4 (1),0 (0),2 (2),18 (10),542197
Lotus,PRX,1,3 (1),0 (0),5 (2),15 (10),542197
Lotus,GX,1,3 (1),3 (1),4 (2),13 (6),542197
Corrode,PRX,2,2 (2),0 (0),3 (3),14 (8),542197
Corrode,GX,0,3 (0),2 (1),7 (2),7 (3),542197
ascent,PRX,5,8 (5),2 (0),14 (8),42 (24),542197
ascent,GX,1,10 (2),5 (2),13 (6),38 (19),542197
Haven,DRX,2,2 (2),0 (0),5 (5),10 (6),542208
Haven,NRG,0,4 (0),1 (0),4 (0),8 (4),542208
Corrode,DRX,1,3 (2),0 (0),5 (3),16 (6),542208
Corrode,NRG,1,3 (1),1 (0),6 (3),14 (9),542208
All Maps,DRX,1,3 (1),2 (0),4 (2),15 (8),542208
All Maps,NRG,1,4 (1),0 (0),6 (3),14 (9),542208
Lotus,TH,1,3 (2),1 (0),2 (1),17 (10),542213
Lotus,T1,1,3 (1),3 (0),3 (1),14 (8),542213
Sunset,TH,0,4 (0),0 (0),3 (1),17 (12),542213
Sunset,T1,2,2 (2),1 (0),7 (3),14 (6),542213
Ascent,TH,1,7 (2),1 (0),5 (2),34 (22),542213
Ascent,T1,3,5 (3),4 (0),10 (4),28 (14),542213
Bind,MIBR,1,3 (1),0 (0),2 (2),13 (10),542202
Bind,FNC,1,3 (1),1 (0),7 (2),7 (2),542202
Abyss,MIBR,1,4 (1),0 (0),5 (1),11 (5),542202
Abyss,FNC,1,3 (1),2 (1),3 (2),12 (9),542202
All Maps,MIBR,0,4 (0),1 (0),6 (3),12 (7),542202
All Maps,FNC,2,2 (2),2 (1),5 (3),14 (7),542202
Sunset,TL,0,3 (0),1 (0),6 (3),6 (0),542209
Sunset,EDG,2,2 (2),1 (0),2 (2),11 (9),542209
