player,player_name,team,player_id,agents,agents_count,rounds,rating,acs,kd_ratio,kast,adr,kpr,apr,fkpr,fdpr,hs_percent,cl_percent,clutches,k_max,kills,deaths,assists,first_kills,first_deaths
aspas,aspas,MIBR,8480,"['Neon', 'Waylay', 'Raze', 'Jett']",4,330,1.33,261.6,1.66,79%,164.7,0.97,0.13,0.2,0.07,26%,8%,2/26,32,319,192,44,67,23
RieNs,RieNs,TH,10971,"['Fade', 'Sova']",2,256,1.17,226.1,1.14,73%,148.9,0.79,0.33,0.07,0.05,34%,20%,7/35,23,203,178,85,18,12
brawk,brawk,NRG,2172,"['Sova', 'Vyse']",2,377,1.16,224.6,1.17,76%,144.7,0.73,0.34,0.07,0.06,17%,9%,4/47,28,275,236,128,26,23
kaajak,kaajak,FNC,9554,"['Yoru', 'Waylay', 'Raze', 'Neon']",4,453,1.15,227.1,1.2,71%,147.9,0.82,0.2,0.21,0.13,32%,11%,3/28,30,372,311,90,95,59
johnqt,johnqt,SEN,1265,"['Viper', 'Cypher', 'Sova']",3,126,1.14,187.0,1.13,79%,118.7,0.67,0.27,0.04,0.04,33%,9%,2/22,17,85,75,34,5,5
Smoggy,Smoggy,EDG,4742,"['Omen', 'Brimstone']",2,119,1.13,206.0,1.09,77%,135.3,0.74,0.4,0.09,0.04,25%,17%,4/23,26,88,81,48,11,5
leaf,leaf,G2,7873,"['Cypher', 'Viper', 'Deadlock', 'Chamber']",4,268,1.11,222.8,1.13,71%,151.5,0.79,0.26,0.11,0.09,21%,15%,5/33,30,213,188,69,30,24
something,something,PRX,17086,"['Yoru', 'Sova']",2,356,1.1,220.4,1.17,72%,141.0,0.79,0.26,0.16,0.13,25%,13%,5/38,28,281,240,94,57,48
Knight,Knight,BLG,4774,"['Sova', 'Fade']",2,95,1.1,196.8,0.97,67%,135.4,0.68,0.28,0.08,0.09,26%,12%,2/17,20,65,67,27,8,9
skuba,skuba,NRG,11118,"['Vyse', 'Viper', 'Killjoy', 'Cypher']",4,377,1.09,190.1,1.17,76%,124.9,0.71,0.25,0.06,0.06,30%,21%,12/58,28,266,228,94,21,24
Chronicle,Chronicle,FNC,458,"['Vyse', 'Breach', 'Viper', 'Cypher']",4,453,1.09,206.0,1.07,70%,138.9,0.72,0.28,0.09,0.08,29%,8%,5/62,31,326,304,125,42,35
SpiritZ1,SpiritZ1,DRG,31753,['Yoru'],1,98,1.08,237.0,1.03,79%,155.7,0.82,0.33,0.21,0.11,30%,0%,0/2,27,80,78,32,21,11
NoMan,NoMan,XLG,11527,"['Skye', 'Neon', 'Jett', 'Deadlock', 'Killjoy', 'Kayo']",6,157,1.08,221.4,1.18,73%,140.7,0.78,0.19,0.1,0.1,32%,5%,1/19,23,123,104,30,16,16
cortezia,cortezia,MIBR,5395,"['Killjoy', 'Viper', 'Cypher', 'Vyse']",4,330,1.08,196.4,1.27,75%,130.2,0.72,0.21,0.11,0.07,33%,8%,3/40,25,237,186,68,35,22
Cloud,Cloud,GX,4181,"['Fade', 'Sova', 'Gekko']",3,261,1.07,202.5,1.02,70%,135.2,0.69,0.33,0.07,0.06,29%,7%,3/43,23,179,176,85,18,16
Alfajer,Alfajer,FNC,9810,"['Sage', 'Cypher', 'Tejo', 'Killjoy', 'Vyse', 'Neon']",6,391,1.06,211.7,1.14,69%,141.3,0.76,0.18,0.14,0.1,34%,5%,2/40,25,299,263,72,53,41
jawgemo,jawgemo,G2,3993,"['Raze', 'Yoru']",2,268,1.05,230.4,1.09,68%,141.7,0.8,0.2,0.2,0.14,28%,19%,6/31,28,214,196,54,53,38
Jinggg,Jinggg,PRX,7378,"['Raze', 'Sage', 'Omen']",3,356,1.05,224.3,1.1,74%,146.0,0.78,0.24,0.12,0.13,22%,12%,3/25,28,278,252,84,43,47
Verno,Verno,MIBR,21668,"['Sova', 'Fade']",2,330,1.05,199.3,1.15,76%,129.3,0.67,0.33,0.1,0.06,25%,17%,4/24,22,220,191,110,32,19
ZmjjKK,ZmjjKK,EDG,3520,"['Yoru', 'Neon']",2,119,1.04,237.4,1.08,62%,143.5,0.82,0.18,0.21,0.19,24%,0%,0/15,23,97,90,22,25,23
iZu,iZu,T1,29833,"['Yoru', 'Waylay']",2,148,1.04,212.2,1.09,70%,124.8,0.76,0.15,0.14,0.1,26%,21%,4/19,22,113,104,22,21,15
Meteor,Meteor,T1,13039,"['Vyse', 'Cypher']",2,148,1.04,219.0,0.96,68%,144.2,0.74,0.18,0.17,0.07,36%,11%,3/27,29,110,114,26,25,11
