match_id,map_name,map_order,score,winner,duration,picked_by
542195,Bind,1,13 - 9,Paper Rex,48:56,Xi Lai Gaming
542195,Sunset,2,13 - 5,Paper Rex,39:04,Paper Rex
542196,Corrode,1,6 - 13,Sentinels,41:17,Sentinels
542196,Sunset,2,13 - 4,GIANTX,38:15,GIANTX
542196,Haven,3,13 - 9,GIANTX,51:34,Decider
542207,Abyss,1,17 - 15,NRG,1:14:38,EDward Gaming
542207,Corrode,2,13 - 11,NRG,55:36,NRG
542205,Abyss,1,8 - 13,DRX,47:56,DRX
542205,Bind,2,10 - 13,DRX,51:28,Team Liquid
542212,Lotus,1,13 - 15,T1,1:04:38,Dragon Ranger Gaming
542212,Sunset,2,14 - 16,T1,1:27:05,T1
542211,Corrode,1,10 - 13,Team Heretics,55:59,Team Heretics
542211,Lotus,2,10 - 13,Team Heretics,56:24,G2 Esports
542200,Haven,1,2 - 13,MIBR,34:58,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming)
542200,Corrode,2,9 - 13,MIBR,47:01,MIBR
542201,Ascent,1,10 - 13,FNATIC,57:19,FNATIC
542201,Abyss,2,7 - 13,FNATIC,45:03,Rex Regum Qeon
542197,Ascent,1,11 - 13,GIANTX,54:54,GIANTX
542197,Lotus,2,13 - 10,Paper Rex,46:53,Paper Rex
542197,Sunset,3,13 - 6,Paper Rex,38:53,Decider
542208,Haven,1,13 - 4,DRX,43:25,DRX
542208,Corrode,2,11 - 13,NRG,55:37,NRG
542208,Lotus,3,11 - 13,NRG,53:46,Decider
542213,Lotus,1,13 - 10,Team Heretics,51:06,Team Heretics
542213,Sunset,2,13 - 11,Team Heretics,51:59,T1
542202,Bind,1,13 - 5,MIBR,47:35,FNATIC
542202,Abyss,2,7 - 13,FNATIC,45:01,MIBR
542202,Haven,3,10 - 13,FNATIC,52:25,Decider
542209,Sunset,1,3 - 13,EDward Gaming,40:44,Team Liquid
542209,Abyss,2,13 - 6,Team Liquid,39:16,EDward Gaming
542209,Bind,3,15 - 13,Team Liquid,1:05:45,Decider
542198,Abyss,1,10 - 13,Sentinels,51:55,Xi Lai Gaming
542198,Lotus,2,13 - 11,Xi Lai Gaming,59:42,Sentinels
542198,Haven,3,13 - 8,Xi Lai Gaming,46:27,Decider
542203,Sunset,1,13 - 7,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming),41:56,Rex Regum Qeon
542203,Lotus,2,8 - 13,Rex Regum Qeon,45:14,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming)
542203,Abyss,3,4 - 13,Rex Regum Qeon,40:38,Decider
542214,Lotus,1,13 - 7,G2 Esports,45:05,Dragon Ranger Gaming
542214,Abyss,2,13 - 7,G2 Esports,44:41,G2 Esports
542210,Corrode,1,13 - 8,DRX,48:25,Team Liquid
542210,Abyss,2,13 - 7,DRX,46:41,DRX
542199,Bind,1,14 - 12,GIANTX,57:22,Xi Lai Gaming
542199,Ascent,2,13 - 10,GIANTX,47:59,GIANTX
542215,Lotus,1,9 - 13,G2 Esports,49:12,G2 Esports
542215,Corrode,2,8 - 13,G2 Esports,46:50,T1
542204,Corrode,1,13 - 5,MIBR,44:14,Rex Regum Qeon
542204,Abyss,2,13 - 5,MIBR,39:00,MIBR
542265,Lotus,1,13 - 11,Paper Rex,51:39,Paper Rex
542265,Corrode,2,13 - 15,G2 Esports,1:03:55,G2 Esports
542265,Ascent,3,13 - 11,Paper Rex,57:03,Decider
542264,Haven,1,13 - 11,FNATIC,1:00:52,DRX
542264,Ascent,2,8 - 13,DRX,49:01,FNATIC
542264,Lotus,3,13 - 5,FNATIC,44:32,Decider
542266,Corrode,1,12 - 14,MIBR,1:01:32,MIBR
542266,Sunset,2,6 - 13,MIBR,46:15,Team Heretics
542267,Haven,1,13 - 1,NRG,34:06,GIANTX
542267,Lotus,2,13 - 6,NRG,43:12,NRG
542273,Lotus,1,7 - 13,G2 Esports,44:40,G2 Esports
542273,Abyss,2,13 - 10,DRX,56:55,DRX
542273,Bind,3,13 - 7,DRX,45:20,Decider
542274,Ascent,1,13 - 4,Team Heretics,37:10,GIANTX
542274,Lotus,2,3 - 13,GIANTX,35:56,Team Heretics
542274,Bind,3,13 - 9,Team Heretics,45:33,Decider
542268,Bind,1,10 - 13,Paper Rex,52:35,Paper Rex
542268,Haven,2,13 - 4,FNATIC,37:32,FNATIC
542268,Lotus,3,13 - 9,FNATIC,50:27,Decider
542269,Abyss,1,14 - 16,NRG,1:10:57,MIBR
542269,Haven,2,13 - 4,MIBR,38:48,NRG
542269,Corrode,3,14 - 16,NRG,1:11:54,Decider
542277,Ascent,1,13 - 11,Paper Rex,55:36,Team Heretics
542277,Bind,2,9 - 13,Team Heretics,51:39,Paper Rex
542277,Lotus,3,13 - 4,Paper Rex,35:08,Decider
542276,Sunset,1,13 - 10,MIBR,47:50,MIBR
542276,Ascent,2,13 - 15,DRX,1:06:08,DRX
542276,Bind,3,10 - 13,DRX,58:37,Decider
542270,Ascent,1,12 - 14,NRG,1:05:02,FNATIC
542270,Abyss,2,5 - 13,NRG,40:41,NRG
542278,Ascent,1,15 - 13,DRX,1:04:34,DRX
542278,Lotus,2,13 - 8,DRX,46:28,Paper Rex
542279,Sunset,1,8 - 13,DRX,48:59,FNATIC
542279,Corrode,2,13 - 3,FNATIC,44:54,DRX
542279,Haven,3,13 - 11,FNATIC,53:36,FNATIC
542279,Bind,4,13 - 4,FNATIC,40:07,DRX
542272,Corrode,1,13 - 3,NRG,40:34,NRG
542272,Lotus,2,13 - 6,NRG,44:48,FNATIC
542272,Abyss,3,13 - 15,FNATIC,1:03:33,NRG
542272,Ascent,4,8 - 13,FNATIC,52:47,FNATIC
542272,Sunset,5,13 - 5,NRG,42:18,Decider
