match_id,event_id,year,map_index,map,team1,team1_score,team2,team2_score,winner
112287,1014,2022,1,Bind,FunPlus Phoenix,14,XERXIA Esports,12,FunPlus Phoenix
112287,1014,2022,2,Ascent,FunPlus Phoenix,9,XERXIA Esports,13,XERXIA Esports
112287,1014,2022,3,Haven,FunPlus Phoenix,13,XERXIA Esports,10,FunPlus Phoenix
112325,1014,2022,1,Fracture,KIWOOM DRX,13,OpTic Gaming,4,KIWOOM DRX
112325,1014,2022,2,Breeze,KIWOOM DRX,4,OpTic Gaming,13,OpTic Gaming
112325,1014,2022,3,Bind,KIWOOM DRX,11,OpTic Gaming,13,OpTic Gaming
112328,1014,2022,1,Ascent,Guild Esports,11,FunPlus Phoenix,13,FunPlus Phoenix
112328,1014,2022,2,Breeze,Guild Esports,13,FunPlus Phoenix,3,Guild Esports
112328,1014,2022,3,Bind,Guild Esports,4,FunPlus Phoenix,13,FunPlus Phoenix
112286,1014,2022,1,Split,KRÜ Esports,7,OpTic Gaming,13,OpTic Gaming
112286,1014,2022,2,Haven,KRÜ Esports,6,OpTic Gaming,13,OpTic Gaming
112329,1014,2022,1,Split,LEVIATÁN,9,XSET,13,XSET
112329,1014,2022,2,Ascent,LEVIATÁN,15,XSET,13,LEVIATÁN
112329,1014,2022,3,Haven,LEVIATÁN,16,XSET,14,LEVIATÁN
112288,1014,2022,1,Ascent,KIWOOM DRX,13,NORTHEPTION,8,KIWOOM DRX
112288,1014,2022,2,Bind,KIWOOM DRX,13,NORTHEPTION,1,KIWOOM DRX
112290,1014,2022,1,Split,XERXIA Esports,13,NORTHEPTION,9,XERXIA Esports
112290,1014,2022,2,Haven,XERXIA Esports,8,NORTHEPTION,13,NORTHEPTION
112290,1014,2022,3,Bind,XERXIA Esports,13,NORTHEPTION,15,NORTHEPTION
112291,1014,2022,1,Fracture,FunPlus Phoenix,13,NORTHEPTION,9,FunPlus Phoenix
112291,1014,2022,2,Ascent,FunPlus Phoenix,13,NORTHEPTION,9,FunPlus Phoenix
112283,1014,2022,1,Fracture,LOUD,13,KRÜ Esports,10,LOUD
112283,1014,2022,2,Haven,LOUD,9,KRÜ Esports,13,KRÜ Esports
112283,1014,2022,3,Icebox,LOUD,10,KRÜ Esports,13,KRÜ Esports
112285,1014,2022,1,Ascent,OpTic Gaming,8,LOUD,13,LOUD
112285,1014,2022,2,Fracture,OpTic Gaming,13,LOUD,8,OpTic Gaming
112285,1014,2022,3,Split,OpTic Gaming,14,LOUD,12,OpTic Gaming
112323,1014,2022,1,Haven,XSET,7,OpTic Gaming,13,OpTic Gaming
112323,1014,2022,2,Bind,XSET,6,OpTic Gaming,13,OpTic Gaming
112284,1014,2022,1,Bind,Guild Esports,12,KRÜ Esports,14,KRÜ Esports
112284,1014,2022,2,Fracture,Guild Esports,13,KRÜ Esports,6,Guild Esports
112284,1014,2022,3,Icebox,Guild Esports,16,KRÜ Esports,14,Guild Esports
112322,1014,2022,1,Ascent,LEVIATÁN,13,KIWOOM DRX,6,LEVIATÁN
112322,1014,2022,2,Breeze,LEVIATÁN,5,KIWOOM DRX,13,KIWOOM DRX
112322,1014,2022,3,Haven,LEVIATÁN,11,KIWOOM DRX,13,KIWOOM DRX
112289,1014,2022,1,Haven,FunPlus Phoenix,13,KIWOOM DRX,8,FunPlus Phoenix
112289,1014,2022,2,Fracture,FunPlus Phoenix,6,KIWOOM DRX,13,KIWOOM DRX
112289,1014,2022,3,Breeze,FunPlus Phoenix,6,KIWOOM DRX,13,KIWOOM DRX
112332,1014,2022,1,Split,FunPlus Phoenix,13,FNATIC,15,FNATIC
112332,1014,2022,2,Bind,FunPlus Phoenix,13,FNATIC,7,FunPlus Phoenix
112332,1014,2022,3,Fracture,FunPlus Phoenix,13,FNATIC,5,FunPlus Phoenix
112331,1014,2022,1,Fracture,FNATIC,14,LEVIATÁN,12,FNATIC
112331,1014,2022,2,Ascent,FNATIC,10,LEVIATÁN,13,LEVIATÁN
112331,1014,2022,3,Bind,FNATIC,17,LEVIATÁN,15,FNATIC
112327,1014,2022,1,Bind,Paper Rex,3,FunPlus Phoenix,13,FunPlus Phoenix
112327,1014,2022,2,Icebox,Paper Rex,13,FunPlus Phoenix,7,Paper Rex
112327,1014,2022,3,Fracture,Paper Rex,7,FunPlus Phoenix,13,FunPlus Phoenix
112327,1014,2022,4,Haven,Paper Rex,13,FunPlus Phoenix,7,Paper Rex
112327,1014,2022,5,Breeze,Paper Rex,9,FunPlus Phoenix,13,FunPlus Phoenix
112324,1014,2022,1,Ascent,Paper Rex,13,FNATIC,11,Paper Rex
112324,1014,2022,2,Bind,Paper Rex,13,FNATIC,10,Paper Rex
112326,1014,2022,1,Haven,Paper Rex,13,OpTic Gaming,3,Paper Rex
112326,1014,2022,2,Bind,Paper Rex,9,OpTic Gaming,13,OpTic Gaming
112326,1014,2022,3,Fracture,Paper Rex,13,OpTic Gaming,5,Paper Rex
112282,1014,2022,1,Icebox,OpTic Gaming,11,Guild Esports,13,Guild Esports
112282,1014,2022,2,Split,OpTic Gaming,14,Guild Esports,16,Guild Esports
