match_id,event_id,event_title,year,date,time,stage,round,team1,team1_id,team1_score,team2,team2_id,team2_score,winner,map_count
112287,1014,Valorant Champions Tour Stage 2: Masters Copenhagen,2022,2022-07-11,17:00:00,Group Stage,Opening (B),FunPlus Phoenix,628,2,XERXIA Esports,7397,1,FunPlus Phoenix,3
112325,1014,Valorant Champions Tour Stage 2: Masters Copenhagen,2022,2022-07-17,20:00:00,Playoffs,Upper Semifinals,KIWOOM DRX,8185,1,OpTic Gaming,8127,2,OpTic Gaming,3
112328,1014,Valorant Champions Tour Stage 2: Masters Copenhagen,2022,2022-07-16,17:00:00,Playoffs,Lower Round 1,Guild Esports,1209,1,FunPlus Phoenix,628,2,FunPlus Phoenix,3
112286,1014,Valorant Champions Tour Stage 2: Masters Copenhagen,2022,2022-07-13,20:00:00,Group Stage,Decider (A),KRÜ Esports,2355,0,OpTic Gaming,8127,2,OpTic Gaming,2
112329,1014,Valorant Champions Tour Stage 2: Masters Copenhagen,2022,2022-07-16,20:25:00,Playoffs,Lower Round 1,LEVIATÁN,2359,2,XSET,533,1,LEVIATÁN,3
112288,1014,Valorant Champions Tour Stage 2: Masters Copenhagen,2022,2022-07-10,15:00:00,Group Stage,Opening (B),KIWOOM DRX,8185,2,NORTHEPTION,2988,0,KIWOOM DRX,2
112290,1014,Valorant Champions Tour Stage 2: Masters Copenhagen,2022,2022-07-12,18:35:00,Group Stage,Elimination (B),XERXIA Esports,7397,1,NORTHEPTION,2988,2,NORTHEPTION,3
112291,1014,Valorant Champions Tour Stage 2: Masters Copenhagen,2022,2022-07-13,17:00:00,Group Stage,Decider (B),FunPlus Phoenix,628,2,NORTHEPTION,2988,0,FunPlus Phoenix,2
112283,1014,Valorant Champions Tour Stage 2: Masters Copenhagen,2022,2022-07-10,17:45:00,Group Stage,Opening (A),LOUD,6961,1,KRÜ Esports,2355,2,KRÜ Esports,3
112285,1014,Valorant Champions Tour Stage 2: Masters Copenhagen,2022,2022-07-12,22:00:00,Group Stage,Elimination (A),OpTic Gaming,8127,2,LOUD,6961,1,OpTic Gaming,3
112323,1014,Valorant Champions Tour Stage 2: Masters Copenhagen,2022,2022-07-15,20:45:00,Playoffs,Upper Quarterfinals,XSET,533,0,OpTic Gaming,8127,2,OpTic Gaming,2
112284,1014,Valorant Champions Tour Stage 2: Masters Copenhagen,2022,2022-07-11,20:50:00,Group Stage,Winner's (A),Guild Esports,1209,2,KRÜ Esports,2355,1,Guild Esports,3
112322,1014,Valorant Champions Tour Stage 2: Masters Copenhagen,2022,2022-07-15,17:00:00,Playoffs,Upper Quarterfinals,LEVIATÁN,2359,1,KIWOOM DRX,8185,2,KIWOOM DRX,3
112289,1014,Valorant Champions Tour Stage 2: Masters Copenhagen,2022,2022-07-12,15:00:00,Group Stage,Winner's (B),FunPlus Phoenix,628,1,KIWOOM DRX,8185,2,KIWOOM DRX,3
112332,1014,Valorant Champions Tour Stage 2: Masters Copenhagen,2022,2022-07-22,20:15:00,Playoffs,Lower Round 3,FunPlus Phoenix,628,2,FNATIC,2593,1,FunPlus Phoenix,3
112331,1014,Valorant Champions Tour Stage 2: Masters Copenhagen,2022,2022-07-18,17:00:00,Playoffs,Lower Round 2,FNATIC,2593,2,LEVIATÁN,2359,1,FNATIC,3
112327,1014,Valorant Champions Tour Stage 2: Masters Copenhagen,2022,2022-07-24,17:00:00,Playoffs,Grand Final,Paper Rex,624,2,FunPlus Phoenix,628,3,FunPlus Phoenix,5
112324,1014,Valorant Champions Tour Stage 2: Masters Copenhagen,2022,2022-07-17,17:00:00,Playoffs,Upper Semifinals,Paper Rex,624,2,FNATIC,2593,0,Paper Rex,2
112326,1014,Valorant Champions Tour Stage 2: Masters Copenhagen,2022,2022-07-22,17:00:00,Playoffs,Upper Final,Paper Rex,624,2,OpTic Gaming,8127,1,Paper Rex,3
112282,1014,Valorant Champions Tour Stage 2: Masters Copenhagen,2022,2022-07-10,21:35:00,Group Stage,Opening (A),OpTic Gaming,8127,0,Guild Esports,1209,2,Guild Esports,2
112334,1014,Valorant Champions Tour Stage 2: Masters Copenhagen,2022,2022-07-23,17:00:00,Playoffs,Lower Final,OpTic Gaming,8127,1,FunPlus Phoenix,628,3,FunPlus Phoenix,4
112330,1014,Valorant Champions Tour Stage 2: Masters Copenhagen,2022,2022-07-18,21:25:00,Playoffs,Lower Round 2,KIWOOM DRX,8185,0,FunPlus Phoenix,628,2,FunPlus Phoenix,2
112320,1014,Valorant Champions Tour Stage 2: Masters Copenhagen,2022,2022-07-14,17:00:00,Playoffs,Upper Quarterfinals,Paper Rex,624,2,Guild Esports,1209,0,Paper Rex,2
112321,1014,Valorant Champions Tour Stage 2: Masters Copenhagen,2022,2022-07-14,19:35:00,Playoffs,Upper Quarterfinals,FNATIC,2593,2,FunPlus Phoenix,628,0,FNATIC,2
130628,1015,Valorant Champions 2022,2022,2022-09-03,14:00:00,Group Stage,Opening (C),XSET,533,2,XERXIA Esports,7397,0,XSET,2
130680,1015,Valorant Champions 2022,2022,2022-09-10,16:00:00,Playoffs,Upper Quarterfinals,OpTic Gaming,8127,2,Team Liquid,474,1,OpTic Gaming,3
130622,1015,Valorant Champions 2022,2022,2022-09-01,16:45:00,Group Stage,Opening (B),OpTic Gaming,8127,2,BOOM Esports,466,1,OpTic Gaming,3
130629,1015,Valorant Champions 2022,2022,2022-09-05,21:10:00,Group Stage,Winner's (C),FunPlus Phoenix,628,1,XSET,533,2,XSET,3
130687,1015,Valorant Champions 2022,2022,2022-09-11,18:55:00,Playoffs,Lower Round 1,Team Liquid,474,0,FNATIC,2593,2,FNATIC,2
130632,1015,Valorant Champions 2022,2022,2022-09-02,14:00:00,Group Stage,Opening (D),KIWOOM DRX,8185,2,FURIA,2406,0,KIWOOM DRX,2
130682,1015,Valorant Champions 2022,2022,2022-09-12,16:00:00,Playoffs,Upper Semifinals,KIWOOM DRX,8185,0,LOUD,6961,2,LOUD,2
130685,1015,Valorant Champions 2022,2022,2022-09-18,16:10:00,Playoffs,Grand Final,LOUD,6961,3,OpTic Gaming,8127,1,LOUD,4
130689,1015,Valorant Champions 2022,2022,2022-09-13,16:00:00,Playoffs,Lower Round 2,KIWOOM DRX,8185,2,FNATIC,2593,1,KIWOOM DRX,3
130631,1015,Valorant Champions 2022,2022,2022-09-08,16:00:00,Group Stage,Decider (C),FunPlus Phoenix,628,2,KRÜ Esports,2355,0,FunPlus Phoenix,2
130688,1015,Valorant Champions 2022,2022,2022-09-13,20:10:00,Playoffs,Lower Round 2,XSET,533,1,FunPlus Phoenix,628,2,FunPlus Phoenix,3
130623,1015,Valorant Champions 2022,2022,2022-09-01,14:00:00,Group Stage,Opening (B),ZETA DIVISION,5448,0,LOUD,6961,2,LOUD,2
130683,1015,Valorant Champions 2022,2022,2022-09-12,18:40:00,Playoffs,Upper Semifinals,OpTic Gaming,8127,2,XSET,533,1,OpTic Gaming,3
130636,1015,Valorant Champions 2022,2022,2022-09-08,18:35:00,Group Stage,Decider (D),100 Thieves,120,0,FNATIC,2593,2,FNATIC,2
130619,1015,Valorant Champions 2022,2022,2022-09-01,20:35:00,Group Stage,Winner's (A),Paper Rex,624,0,LEVIATÁN,2359,2,LEVIATÁN,2
130690,1015,Valorant Champions 2022,2022,2022-09-16,18:45:00,Playoffs,Lower Round 3,FunPlus Phoenix,628,0,KIWOOM DRX,8185,2,KIWOOM DRX,2
130681,1015,Valorant Champions 2022,2022,2022-09-10,19:50:00,Playoffs,Upper Quarterfinals,XSET,533,2,FNATIC,2593,0,XSET,2
130634,1015,Valorant Champions 2022,2022,2022-09-03,19:45:00,Group Stage,Winner's (D),KIWOOM DRX,8185,2,100 Thieves,120,0,KIWOOM DRX,2
130627,1015,Valorant Champions 2022,2022,2022-09-03,17:00:00,Group Stage,Opening (C),FunPlus Phoenix,628,2,KRÜ Esports,2355,0,FunPlus Phoenix,2
130620,1015,Valorant Champions 2022,2022,2022-09-04,17:45:00,Group Stage,Elimination (A),EDward Gaming,1120,0,Team Liquid,474,2,Team Liquid,2
130691,1015,Valorant Champions 2022,2022,2022-09-17,16:00:00,Playoffs,Lower Final,OpTic Gaming,8127,3,KIWOOM DRX,8185,2,OpTic Gaming,5
130686,1015,Valorant Champions 2022,2022,2022-09-11,16:00:00,Playoffs,Lower Round 1,FunPlus Phoenix,628,2,LEVIATÁN,2359,0,FunPlus Phoenix,2
130621,1015,Valorant Champions 2022,2022,2022-09-07,16:00:00,Group Stage,Decider (A),Paper Rex,624,1,Team Liquid,474,2,Team Liquid,3
130633,1015,Valorant Champions 2022,2022,2022-09-02,17:10:00,Group Stage,Opening (D),FNATIC,2593,1,100 Thieves,120,2,100 Thieves,3
130635,1015,Valorant Champions 2022,2022,2022-09-05,17:20:00,Group Stage,Elimination (D),FURIA,2406,1,FNATIC,2593,2,FNATIC,3
130626,1015,Valorant Champions 2022,2022,2022-09-07,20:00:00,Group Stage,Decider (B),LOUD,6961,2,ZETA DIVISION,5448,0,LOUD,2
130617,1015,Valorant Champions 2022,2022,2022-08-31,16:00:00,Group Stage,Opening (A),Paper Rex,624,2,EDward Gaming,1120,1,Paper Rex,3
130684,1015,Valorant Champions 2022,2022,2022-09-16,16:15:00,Playoffs,Upper Final,LOUD,6961,2,OpTic Gaming,8127,0,LOUD,2
